Linhas de fornecimento,Lista de municipios
Linha de Fornecimento 851: Obras Civis de Fundações em Tubulões,Município 10952: Ipiranga do Piauí
Linha de Fornecimento 852: Obras Civis de Fundações Subaquáticas,Município 10960: SANTA RITA DO TRIVELATO
Linha de Fornecimento 853: Obras Civis de Estruturas de Concreto Armado,Município 10979: Isaias Coelho
Linha de Fornecimento 854: Obras Civis de Estruturas de Concreto Protendido,Município 10995: Itainópolis
Linha de Fornecimento 855: Obras Civis de Estruturas Metálicas,Município 11010: Itaueira
Linha de Fornecimento 856: Obras Civis de Estruturas Pré-Moldadas,Município 11029: VALE DE SÃO DOMINGOS
Linha de Fornecimento 857: Instalações Prediais Elétricas,Município 11037: Jaicós
Linha de Fornecimento 858: Instalações Prediais Hidro-Sanitárias,Município 11053: Jerumenha
Linha de Fornecimento 859: Instalações Prediais Telefônicas,Município 11070: Joaquim Pires
Linha de Fornecimento 860: Instalações Prediais de Gás (Obras Civis),Município 11096: José de Freitas
Linha de Fornecimento 861: Instalações Prediais Eletrônicas (Obras Civis),Município 11118: Landri Sales
Linha de Fornecimento 862: Instalações Prediais de Comunicação (Obras Civis),Município 11126: Luis Eduardo Magalhães
"Linha de Fornecimento 863: Obras Civis Instalações Prediais - Som Ambiente 
/ Sistema Audiovisual",Município 11134: Luis Correia
"Linha de Fornecimento 864: Obras Civis - Impermeabilização / Cristalização 
/ Revestimento / Tratamento Especial",Município 11142: GOVERNADOR LINDENBERG
Linha de Fornecimento 865: Obras Civis de Edificação Prediais,Município 11150: Luzilândia
Linha de Fornecimento 866: Manutenção / Reforma Predial,Município 11169: MESQUITA
Linha de Fornecimento 867: Obras Civis - Demolições,Município 11177: Manoel Emídio
"Linha de Fornecimento 868: Obras Civis de Recuperação Estrutural - Injeções 
em Trincas e Fissuras de Concreto",Município 11185: ACEGUA
"Linha de Fornecimento 869: Obras Civis de Recuperação Estrutural - 
Tratamento e Prote-ção de Armaduras e Superfícies de Concreto",Município 11193: Marcos Parente
"Linha de Fornecimento 870: Obras Civis de Recuperação Estrutural - Concreto 
Projetado",Município 11207: ALMIRANTE TAMANDARÉ DO SUL
"Linha de Fornecimento 871: Obras Civis de Recuperação Estrutural - 
Estruturas Metálicas",Município 11215: Matias Olímpio
Linha de Fornecimento 872: Obras Civis de Muros de Arrimo,Município 11223: ARROIO DO PADRE
Linha de Fornecimento 873: Obras Civis de Cortinas Atirantadas,Município 11231: Miguel Alves
Linha de Fornecimento 874: Obras Civis de Muros de Gabiões,Município 11240: BOA VISTA DO CADEADO
Linha de Fornecimento 875: Obras Civis de Paredes Diafragma,Município 11258: Miguel Leão
Linha de Fornecimento 876: Injeções de Cimento (Obras Civis),Município 11274: Monsenhor Gil
Linha de Fornecimento 877: Obras Civis de Atirantamento,Município 11282: BOZANO
Linha de Fornecimento 878: Hidrossemeadura (Obras Civis),Município 11290: Monsenhor Hipólito
Linha de Fornecimento 879: Obras Civis de Pontes e Viadutos - Concreto,Município 11304: CANUDOS DO VALE
Linha de Fornecimento 880: Obras Civis de Pontes e Viadutos - Metálicos,Município 11312: Monte Alegre do Piauí
Linha de Fornecimento 881: Obras Civis de Túneis,Município 11320: CAPÃO BONITO DO SUL
Linha de Fornecimento 882: Obras Civis de Rodovias / Estacionamento,Município 11339: Nazaré do Piauí
"Linha de Fornecimento 883: Obras Civis de Ferrovias, Pátios e Terminais",Município 11355: Nossa Senhora dos Remédios
Linha de Fornecimento 884: Obras Civis de Aeroportos,Município 11363: COQUEIRO BAIXO
Linha de Fornecimento 885: Obras Civis - Execução de Obras Portuárias,Município 11371: Novo Oriente do Piauí
"Linha de Fornecimento 886: Obras Civis de Barragens de Concreto 
(Estrutural, Gravidadee Concreto Rolado)",Município 11380: Coronel Pilar
Linha de Fornecimento 887: Obras Civis - Barragens de Enrroçamento,Município 11398: Oeiras
Linha de Fornecimento 888: Obras Civis - Barragens de Terra,Município 11401: CRUZALTENSE
Linha de Fornecimento 889: Obras Civis - Diques e Ensecadeiras,Município 11410: Domingos Mourão
Linha de Fornecimento 890: Obras Civis - Dragagem e Derrocagem,Município 11436: Padre Marcos
"Linha de Fornecimento 891: Obras Civis de Saneamento - Captação, Adução e 
Distribuiçãode Água e Esgoto Sanitário",Município 11452: Paes Landim
"Linha de Fornecimento 892: Obras Civis de Saneamento - Tratamento de Água, 
Esgoto Sani-tário e Despejo Industrial",Município 11479: Palmeira do Piauí
"Linha de Fornecimento 893: Obras Civis de Saneamento - Sistema de Drenagem 
Pluvial e Industrial",Município 11495: Palmeiras
Linha de Fornecimento 894: Obras Civis - Perfuração de Poços,Município 11509: MATO QUEIMADO
Linha de Fornecimento 895: Obras Civis - Subestações Energia Elétrica,Município 11517: Parnaguá
"Linha de Fornecimento 896: Obras Civis de Linhas de Transmissão de Energia 
Elétrica",Município 11525: NOVO XINGU
"Linha de Fornecimento 897: Obras Civis de Linhas de Distribuição de Energia 
Elétrica",Município 11533: Parnaiba
Linha de Fornecimento 898: Obras Civis de Redes de Telecomunicações,Município 11541: PAULO BENTO
Linha de Fornecimento 899: Obras Civis de Jardins e Áreas Gramadas,Município 11550: Paulistana
Linha de Fornecimento 900: Instalação e Montagem Equipamentos de Caldeiraria,Município 11568: PEDRAS ALTAS
"Linha de Fornecimento 901: Instalação / Montagem / Manutenção - 
Equipamentos Elétricos",Município 11576: Pedro II
"Linha de Fornecimento 902: Manutenção / Instalação / Montagem / Ampliação - 
Equipamen-tos de Telecomunicações",Município 11584: PINHAL DA SERRA
"Linha de Fornecimento 903: Manutenção / Instalação e Montagem de 
Intrumentação de Con-trole",Município 11592: Picos
"Linha de Fornecimento 904: Instalação e Montagem de Sistemas de Tubulações 
Industriais",Município 11614: Pimenteiras
"Linha de Fornecimento 905: Instalação e Montagem de Sistemas - Proteção 
Contra Incêndio",Município 11630: Pio IX
"Linha de Fornecimento 906: Ar Condicionado - Instalação e Montagem (Parede 
/ Sistemas)",Município 11649: ROLADOR
"Linha de Fornecimento 907: Instalação e Montagem - Sistemas Ventilação e 
Exaustão Mecâ-nica",Município 11657: Piracuruca
Linha de Fornecimento 908: Instalação e Montagem de Sistemas de Aquecimento,Município 11665: SANTA CECILIA DO SUL
Linha de Fornecimento 909: Instalação e Montagem de Sistemas de Refrigeração,Município 11673: Piripiri
"Linha de Fornecimento 910: Instalação e Montagem de Sistemas de Sinalização 
Ferroviária",Município 11681: SANTA MARGARIDA DO SUL
"Linha de Fornecimento 911: Instalação e Montagem de Sistemas de Sinalização 
Marítima",Município 11690: Porto
"Linha de Fornecimento 912: Instalação e Montagem de Sistemas de Sinalização 
Rodoviária",Município 11703: SAO JOSE DO SUL
"Linha de Fornecimento 913: Instalação e Montagem de Sistemas de Sinalização 
Aérea",Município 11711: Prata do Piauí
"Linha de Fornecimento 914: INSTALAÇÃO E MONTAGEM DE SUBESTAÇÕES DE ENERGIA 
ELÉTRICA",Município 11720: SÃO PEDRO DAS MISSÕES
"Linha de Fornecimento 915: INSTALAÇÃO E MONTAGEM DE LINHAS DE TRANSMISSÃO 
DE ENERGIA ELÉTRICA",Município 11738: Redenção do Gurguéia
"Linha de Fornecimento 916: INSTALAÇÃO E MONTAGEM DE LINHAS DE DISTRIBUIÇÃO 
DE ENERGIA ELÉTRICA",Município 11746: TIO HUGO
"Linha de Fornecimento 917: Instalação e Manutenção Sistemas de Aterramento 
e ProteçãoContra Descargas Atmosféricas",Município 11754: Regeneração
"Linha de Fornecimento 918: Instalação e Montagem de Redes Aéreas - 
Telecomunicações",Município 11770: Ribeiro Gonçalves
"Linha de Fornecimento 919: Instalação e Montagem Redes Subterrâneas - 
Telecomunicações",Município 11789: FIGUEIRAO
"Linha de Fornecimento 920: Instalação e Montagem Redes Subaquáticas - 
Telecomunicações",Município 11797: Rio Grande do Piauí
"Linha de Fornecimento 921: Instalação e Montagem para Equipamentos de 
Processamento deDados",Município 11800: NAZÁRIA
Linha de Fornecimento 922: Instalação e Montagem de Cozinhas Industriais,Município 11819: Santa Cruz do Piauí
Linha de Fornecimento 923: Instalação e Montagem de Oficinas,Município 11835: Santa Filomena
Linha de Fornecimento 924: Instalação e Montagem de Laboratórios,Município 11843: IPIRANGA DO NORTE
Linha de Fornecimento 925: Instalação e Montagem de Instalações Frigoríficas,Município 11851: Santa Luz
"Linha de Fornecimento 926: Instalação e Montagem - Galpões / Estruturas 
Metálicas",Município 11860: ITANHANGA
Linha de Fornecimento 927: Instalação e Montagem de Isolamento Térmico,Município 11878: Santo Antonio de Lisboa
Linha de Fornecimento 928: Instalação e Montagem de Isolamento Acústico,Município 11886: AROEIRAS DO ITAIM
Linha de Fornecimento 929: Instalação e Montagem de Construção Naval,Município 11894: Santo Inácio do Piauí
"Linha de Fornecimento 930: Instalação e Montagem de Equipamentos 
Mecânicos/Eletromecânicos",Município 11916: São Félix do Piauí
Linha de Fornecimento 931: Manutenção de Turbinas a Vapor,Município 11932: São Francisco do Piauí
Linha de Fornecimento 932: Manutenção de Turbinas a Gás,Município 11959: São Gonçalo do Piauí
Linha de Fornecimento 933: Manutenção de Hidrogeradores,Município 11967: PARAISO DAS AGUAS
Linha de Fornecimento 934: Manutenção Gerador - Vapor / Gasolina,Município 11975: São João da Serra
Linha de Fornecimento 935: Manutenção de Compressores,Município 11991: São João do Piauí
Linha de Fornecimento 936: Manutenção de Motores a Combustão,Município 12017: São José do Peixe
Linha de Fornecimento 937: Manutenção de Bombas e Moto-Bombas,Município 12033: São José do Piauí
Linha de Fornecimento 938: Manutenção de Trocadores de Calor,Município 12050: São Julião
Linha de Fornecimento 939: Manutenção de Grupos Diesel Gerador de Emergência,Município 12076: São Miguel do Tapuió
Linha de Fornecimento 940: Manutenção de Caldeiras e Estufas,Município 12092: São Pedro do Piauí
Linha de Fornecimento 941: Manutenção de Pontes e Pórticos Rolantes,Município 12114: São Raimundo Nonato
Linha de Fornecimento 942: Manutenção de Talhas e Monovias,Município 12130: Simões
Linha de Fornecimento 943: Manutenção de Equipamentos Hidromecânicos,Município 12157: Simplício Mendes
Linha de Fornecimento 944: Manutenção de Válvulas e Atuadores,Município 12173: Socorro do Piauí
Linha de Fornecimento 945: Manutenção de Agitadores Mecânicos Industriais,Município 12190: Teresina
Linha de Fornecimento 946: Manutenção de Redutores de Velocidade,Município 12211: União
Linha de Fornecimento 947: Manutenção de Equipamentos de Britagem e Moagem,Município 12238: Uruçuí
Linha de Fornecimento 948: Manutenção de Correias Transportadoras,Município 12254: Valenaça do Piauí
Linha de Fornecimento 949: Manutenção de Máquinas / Portáteis / Operatrizes,Município 12270: Várzea Grande
Linha de Fornecimento 950: Manutenção de Autoclaves,Município 12297: Dirceu Arcoverde
Linha de Fornecimento 951: Manutenção de Pré-Aquecedores / Aquecedores,Município 12319: Acarape
Linha de Fornecimento 952: Manutenção de Separadores de Sedimentos,Município 12335: Banabuiú
Linha de Fornecimento 953: Manutenção de Silos e Calhas,Município 12351: Barreira
Linha de Fornecimento 954: Manutenção de Tanques e Esferas de Armazenamento,Município 12378: Barroquinha
Linha de Fornecimento 955: Manutenção de Vasos de Pressão,Município 12394: Chorózinho
Linha de Fornecimento 956: Manutenção de Condutos Forçados,Município 12416: Croatá
Linha de Fornecimento 957: Manutenção de Fornos e Fornalhas,Município 12432: Deputado Irapuan Pinheiro
Linha de Fornecimento 958: Manutenção de Peneiras Industriais,Município 12459: Ererê
Linha de Fornecimento 959: MANUTENÇÃO DE TRANSFORMADORES,Município 12475: Eusébio
Linha de Fornecimento 960: Manutenção de Reatores,Município 12491: Graça
Linha de Fornecimento 961: Manutenção de Barramentos,Município 12513: Guaiuba
Linha de Fornecimento 962: Manutenção de Paineis Elétricos,Município 12530: Horizonte
Linha de Fornecimento 963: MANUTENÇÃO DE CHAVES SECCIONADORAS,Município 12556: Ibaretama
Linha de Fornecimento 964: MANUTENÇÃO DE DISJUNTORES,Município 12572: Ibicuitinga
Linha de Fornecimento 965: Manutenção de Motores Elétricos,Município 12599: Ipaporanga
Linha de Fornecimento 966: Manutenção / Reparo - Bateria,Município 12610: Madalena
Linha de Fornecimento 967: Manutenção de Capacitores,Município 12637: Miraíma
Linha de Fornecimento 968: Manutenção de Compensadores,Município 12653: Ocara
Linha de Fornecimento 969: Manutenção / Instalação - No Break,Município 12670: Pindoretama
"Linha de Fornecimento 970: Manutenção de Equipamentos de Comutação 
Telefônica",Município 12696: Pires Ferreira
"Linha de Fornecimento 971: Manutenção de Equipamentos de Comutação 
Telegráfica",Município 12718: Potiretama
"Linha de Fornecimento 972: Manutenção de Equipamentos de Transmissão 
Multiplex Telefônica",Município 12734: Salitre
"Linha de Fornecimento 973: Manutenção de Equipamentos de Transmissão 
Multiplex Telegrá-fica",Município 12750: Tarrafas
"Linha de Fornecimento 974: Instalação / Manutenção de Equipamentos de Rádio 
/ Antena /Agulha Giroscópica",Município 12777: Tejuçuoca
"Linha de Fornecimento 975: Manutenção de Equipamentos de Comunicação de 
Dados",Município 12793: Tururú
Linha de Fornecimento 976: Manutenção de Instrumentos Elétricos,Município 12815: Arame
"Linha de Fornecimento 977: Instalação/Manutenção- Equipamento 
Eletrônico/Eletromecânico",Município 12831: Miranda do Norte
Linha de Fornecimento 978: Manutenção de Instrumentos Pneumáticos,Município 12858: Santa Luzia do Paruá
"Linha de Fornecimento 979: Manutenção de Sistemas de Tubulações Industriais 
e Caldeira-ria",Município 12874: Zé Doca
"Linha de Fornecimento 980: Manutenção de Sistemas de Proteção Contra 
Incêndio",Município 12890: Dom Inocêncio
"Linha de Fornecimento 981: Ar Condicionado - Manutenção de Sistemas / 
Limpeza",Município 12912: São João da Canabrava
Linha de Fornecimento 982: Manutenção de Sistemas de Ventilação e Exaustor,Município 12939: Passagem Franca do Pauí
Linha de Fornecimento 983: Manutenção de Sistemas de Aquecimento,Município 12955: Santa Cruz dos Milagres
Linha de Fornecimento 984: Manutenção de Sistemas de Refrigeração,Município 12971: Buriti dos Montes
Linha de Fornecimento 985: Manutenção de Sistemas de Sinalização Ferroviária,Município 12998: Cabeceiras do Piauí
Linha de Fornecimento 986: Manutenção de Sistemas de Sinalização Marítima,Município 13013: Abaiara
"Linha de Fornecimento 987: Instalação / Manutenção de Sistema de 
Sinalização Trânsito Vertical / Horizontal",Município 13030: Acaraú
Linha de Fornecimento 988: Manutenção de Sistemas de Sinalização Aérea,Município 13056: Acopiara
Linha de Fornecimento 989: Manutenção de Subestações de Energia Elétrica,Município 13072: Aiuaba
"Linha de Fornecimento 990: MANUTENÇÃO DE LINHAS DE TRANSMISSÃO DE ENERGIA 
ELÉTRICA",Município 13099: Alcantaras
"Linha de Fornecimento 991: Manutenção de Linhas de Distribuição de Energia 
Elétrica",Município 13110: Altaneira
Linha de Fornecimento 992: Manutenção de Redes Aéreas - Telecomunicações,Município 13137: Alto Santo
"Linha de Fornecimento 993: Manutenção de Redes Subterrâneas de 
Telecomunicações",Município 13153: Antonina do Norte
"Linha de Fornecimento 994: Manutenção de Redes Subaquáticas - 
Telecomunicações",Município 13170: Apuiarés
Linha de Fornecimento 995: Manutenção de Isolamento Térmico,Município 13196: Aquiraz
Linha de Fornecimento 996: Manutenção de Isolamento Acústico,Município 13218: Aracati
Linha de Fornecimento 997: Limpeza Química de Equipamentos e Tubulações,Município 13234: Aracoiaba
"Linha de Fornecimento 998: Limpeza de Equipamentos e Tubulações por 
Hidrojateamento",Município 13250: Araripe
Linha de Fornecimento 999: Limpeza Mecânica de Equipamentos e Tubulações,Município 13277: Aratuba
"Linha de Fornecimento 1000: Manutenção em Equipamento de Injeção em 
Termoplástico",Município 13293: Arneiroz
Linha de Fornecimento 1001: Manutenção em Equipamento de Injeção em Zamak,Município 13315: Assaré
"Linha de Fornecimento 1002: Manutenção em Equipamento de Moldagem em 
Resinas Termofixas",Município 13331: Aurora
"Linha de Fornecimento 1003: Manutenção em Equipamento de Moldagem em Fibra 
de Vidro",Município 13358: Baixio
"Linha de Fornecimento 1004: Manutenção em Equipamento de Moldagem em 
Elastômero",Município 13374: Barbalha
"Linha de Fornecimento 1005: Manutenção em Equipamento de Extrusão em 
Elastômero",Município 13390: Barro
Linha de Fornecimento 1006: Manutenção de Forjas,Município 13412: Baturité
"Linha de Fornecimento 1007: Manutenção em Equipamento de Fundição em Ferro 
Fundido",Município 13439: Beberibe
"Linha de Fornecimento 1008: Manutenção em Equipamento de Fundição em Aço 
Carbono",Município 13455: Bela Cruz
"Linha de Fornecimento 1009: Manutenção em Equipamento de Fundição em Aço 
Inox",Município 13471: Boa Viagem
"Linha de Fornecimento 1010: Manutenção em Equipamento de Fundição em 
Alumínio",Município 13498: Brejo Santo
Linha de Fornecimento 1011: Manutenção em Equipamento de Fundição em Cobre,Município 13510: Camocim
Linha de Fornecimento 1012: Manutenção em Equipamento de Estamparia em Metal,Município 13536: Campos Sales
Linha de Fornecimento 1013: Manutenção em Equipamento de Serralharia,Município 13552: Canindé
Linha de Fornecimento 1014: Manutenção de Caldeiraria,Município 13579: Capistrano
Linha de Fornecimento 1015: Manutenção de Usinagem,Município 13595: Caridade
Linha de Fornecimento 1016: Manutenção em Equipamento de Soldagem,Município 13617: Cariré
